id,name,created_at,updated_at
1,#feelthebern,2016-03-07 14:54:09 UTC,2016-03-07 14:54:09 UTC
2,#makeamericagreatagain,2016-03-07 14:54:09 UTC,2016-03-07 14:54:09 UTC
